school,student,test,motive,M,m,N.m,n.m,w
189,12341,0.185218073,-0.501839789,500,100,192,81,11.85185185
189,12342,0.34271859,0.642206474,500,100,192,81,11.85185185
189,12343,0.997820861,0.474895917,500,100,192,81,11.85185185
189,12344,-0.159784692,-2.500840981,500,100,192,81,11.85185185
189,12345,0.594593472,0.261326358,500,100,192,81,11.85185185
189,12346,0.548464615,0.432353108,500,100,192,81,11.85185185
189,12347,0.27886102,-1.324396719,500,100,192,81,11.85185185
189,12348,0.588605956,-0.319837558,500,100,192,81,11.85185185
189,12349,0.966496259,1.155306376,500,100,192,81,11.85185185
189,12350,1.229131777,2.119338064,500,100,192,81,11.85185185
189,12351,0.396178523,0.078329013,500,100,192,81,11.85185185
189,12352,0.575623284,-1.164466782,500,100,192,81,11.85185185
189,12353,1.082701044,1.767346097,500,100,192,81,11.85185185
189,12354,0.901789877,-0.116147782,500,100,192,81,11.85185185
189,12355,0.587615496,0.895879147,500,100,192,81,11.85185185
189,12356,1.248224839,2.131473072,500,100,192,81,11.85185185
189,12357,1.2053061,2.201395948,500,100,192,81,11.85185185
189,12358,0.889850643,0.59628203,500,100,192,81,11.85185185
189,12359,0.838387208,1.266572373,500,100,192,81,11.85185185
189,12360,0.276648814,-0.96778035,500,100,192,81,11.85185185
189,12361,0.273795105,-1.132158754,500,100,192,81,11.85185185
189,12362,0.473912768,-0.318392263,500,100,192,81,11.85185185
189,12363,0.479237148,-1.410387806,500,100,192,81,11.85185185
189,12364,0.629922172,0.104658227,500,100,192,81,11.85185185
189,12365,0.179949494,-1.113889496,500,100,192,81,11.85185185
189,12366,0.255852443,-0.44509332,500,100,192,81,11.85185185
189,12367,0.516604847,0.368314331,500,100,192,81,11.85185185
189,12368,0.713770578,-0.835088031,500,100,192,81,11.85185185
189,12369,0.800144943,-0.208706018,500,100,192,81,11.85185185
189,12370,0.57341603,-0.663517326,500,100,192,81,11.85185185
189,12371,0.484204065,-0.407476662,500,100,192,81,11.85185185
189,12372,1.060275974,0.884041911,500,100,192,81,11.85185185
189,12373,0.743095822,-0.031579928,500,100,192,81,11.85185185
189,12374,0.860521618,0.196663242,500,100,192,81,11.85185185
189,12375,0.370255849,-0.351836915,500,100,192,81,11.85185185
189,12376,0.80085092,0.685422748,500,100,192,81,11.85185185
189,12377,0.768476716,-0.297880455,500,100,192,81,11.85185185
189,12378,0.670075456,-1.084386855,500,100,192,81,11.85185185
189,12379,0.525223276,-1.164633966,500,100,192,81,11.85185185
189,12380,0.549968378,0.396211982,500,100,192,81,11.85185185
189,12381,1.003720992,1.856880966,500,100,192,81,11.85185185
189,12382,0.048193858,-1.902595782,500,100,192,81,11.85185185
189,12383,0.855007614,0.021237724,500,100,192,81,11.85185185
189,12384,0.156399634,-1.611193799,500,100,192,81,11.85185185
189,12385,0.402537353,-0.913094165,500,100,192,81,11.85185185
189,12386,0.638241701,-0.366009318,500,100,192,81,11.85185185
189,12387,1.202083978,2.040276971,500,100,192,81,11.85185185
189,12388,0.505071952,-0.115394976,500,100,192,81,11.85185185
189,12389,0.503325936,-1.460175787,500,100,192,81,11.85185185
189,12390,1.038946183,1.787341113,500,100,192,81,11.85185185
189,12391,0.147220425,-1.373037214,500,100,192,81,11.85185185
189,12392,0.467186765,-0.118158099,500,100,192,81,11.85185185
189,12393,0.488449964,-0.078945832,500,100,192,81,11.85185185
189,12394,0.461608425,0.28475325,500,100,192,81,11.85185185
189,12395,-0.069041676,-2.029798154,500,100,192,81,11.85185185
189,12396,0.183432547,-0.313780853,500,100,192,81,11.85185185
189,12397,0.391867606,-1.536894327,500,100,192,81,11.85185185
189,12398,0.446824935,-0.336831751,500,100,192,81,11.85185185
189,12399,0.635599885,0.147078715,500,100,192,81,11.85185185
189,12400,0.810515045,0.239284648,500,100,192,81,11.85185185
189,12401,0.668584539,0.608364135,500,100,192,81,11.85185185
18,1320,1.33846543,1.294867396,500,100,134,69,9.710144928
18,1321,1.658634421,1.119033095,500,100,134,69,9.710144928
18,1322,0.920164703,-1.426435517,500,100,134,69,9.710144928
18,1323,1.199834452,-0.635234749,500,100,134,69,9.710144928
18,1324,0.924710456,-0.180778631,500,100,134,69,9.710144928
18,1325,1.46345677,1.293398798,500,100,134,69,9.710144928
18,1326,1.125719356,-0.614588527,500,100,134,69,9.710144928
18,1327,1.672667676,0.797117304,500,100,134,69,9.710144928
18,1328,1.542557537,1.190257534,500,100,134,69,9.710144928
18,1329,1.369104455,-0.160411329,500,100,134,69,9.710144928
18,1330,1.152439672,0.382421049,500,100,134,69,9.710144928
18,1331,1.953071926,1.924564407,500,100,134,69,9.710144928
18,1332,0.971331639,-1.744109159,500,100,134,69,9.710144928
18,1333,0.698703824,-2.073898455,500,100,134,69,9.710144928
18,1334,1.459923071,0.135707588,500,100,134,69,9.710144928
18,1335,1.493595457,0.210539289,500,100,134,69,9.710144928
18,1336,1.195738936,-1.037039007,500,100,134,69,9.710144928
18,1337,1.24084275,-0.803979428,500,100,134,69,9.710144928
18,1338,1.462022386,-0.07216852,500,100,134,69,9.710144928
18,1339,1.699727724,0.832321557,500,100,134,69,9.710144928
18,1340,2.123143179,1.596670951,500,100,134,69,9.710144928
18,1341,1.442225875,0.325280033,500,100,134,69,9.710144928
18,1342,1.351243675,-0.609842828,500,100,134,69,9.710144928
18,1343,1.635538943,0.545793129,500,100,134,69,9.710144928
18,1344,1.664101754,0.843703125,500,100,134,69,9.710144928
18,1345,0.810876678,-1.833172528,500,100,134,69,9.710144928
18,1346,1.422643791,0.553602776,500,100,134,69,9.710144928
18,1347,1.139618093,-0.787281662,500,100,134,69,9.710144928
18,1348,0.805983803,-2.027586562,500,100,134,69,9.710144928
18,1349,1.147025363,0.52922049,500,100,134,69,9.710144928
18,1350,1.45596544,0.993947902,500,100,134,69,9.710144928
18,1351,0.702716467,-0.806049878,500,100,134,69,9.710144928
18,1352,1.047050685,0.496902205,500,100,134,69,9.710144928
18,1353,1.802285626,0.209475727,500,100,134,69,9.710144928
18,1354,1.566271853,0.061521446,500,100,134,69,9.710144928
18,1355,1.648496601,1.525234926,500,100,134,69,9.710144928
18,1356,1.332061669,0.630343471,500,100,134,69,9.710144928
18,1357,1.011152232,-1.665291314,500,100,134,69,9.710144928
18,1358,1.284183648,0.276071259,500,100,134,69,9.710144928
18,1359,1.010943991,-0.055832204,500,100,134,69,9.710144928
18,1360,1.471348184,-0.621825799,500,100,134,69,9.710144928
18,1361,1.990350242,1.076249126,500,100,134,69,9.710144928
18,1362,1.962283989,0.546252844,500,100,134,69,9.710144928
18,1363,1.293163396,0.084701881,500,100,134,69,9.710144928
18,1364,1.516493539,0.366202714,500,100,134,69,9.710144928
18,1365,0.639073818,-0.686590266,500,100,134,69,9.710144928
18,1366,1.147872803,-0.157456505,500,100,134,69,9.710144928
18,1367,1.83253308,2.307741273,500,100,134,69,9.710144928
18,1368,0.708129828,-0.892696401,500,100,134,69,9.710144928
18,1369,1.089668176,-0.806054829,500,100,134,69,9.710144928
18,1370,1.0113543,-0.285176164,500,100,134,69,9.710144928
18,1371,0.617726235,-1.481667296,500,100,134,69,9.710144928
18,1372,1.083223023,-0.727052326,500,100,134,69,9.710144928
18,1373,1.46099758,0.054984389,500,100,134,69,9.710144928
18,1374,1.642201895,0.025606712,500,100,134,69,9.710144928
18,1375,1.196258909,-0.890839881,500,100,134,69,9.710144928
18,1376,0.974656512,-0.782293488,500,100,134,69,9.710144928
18,1377,1.357025606,-0.967360263,500,100,134,69,9.710144928
18,1378,1.348988937,0.983079603,500,100,134,69,9.710144928
18,1379,1.379047089,0.483245903,500,100,134,69,9.710144928
18,1380,1.431609302,-0.351261295,500,100,134,69,9.710144928
18,1381,1.49205589,0.500839536,500,100,134,69,9.710144928
18,1382,0.763510604,0.026783311,500,100,134,69,9.710144928
18,1383,1.295591104,-0.426641443,500,100,134,69,9.710144928
18,1384,0.96938142,-0.591750355,500,100,134,69,9.710144928
18,1385,1.231720147,0.940629132,500,100,134,69,9.710144928
18,1386,0.846504629,-1.195303635,500,100,134,69,9.710144928
18,1387,1.485087531,-0.172529447,500,100,134,69,9.710144928
18,1388,1.024008001,-0.416677409,500,100,134,69,9.710144928
193,12581,-0.676983077,0.984984081,500,100,149,91,8.186813187
193,12582,-1.60866253,-0.257555821,500,100,149,91,8.186813187
193,12583,-1.760989026,-2.051154708,500,100,149,91,8.186813187
193,12584,-1.679065537,-1.043568276,500,100,149,91,8.186813187
193,12585,-1.188976252,-0.895483462,500,100,149,91,8.186813187
193,12586,-1.093962155,0.327605613,500,100,149,91,8.186813187
193,12587,-0.630826214,0.468424132,500,100,149,91,8.186813187
193,12588,-0.773728186,1.841100227,500,100,149,91,8.186813187
193,12589,-1.131216973,-0.694542171,500,100,149,91,8.186813187
193,12590,-1.769103315,-1.471874304,500,100,149,91,8.186813187
193,12591,-1.300800965,-0.905497467,500,100,149,91,8.186813187
193,12592,-1.709347237,-0.920625971,500,100,149,91,8.186813187
193,12593,-1.179151538,0.774034397,500,100,149,91,8.186813187
193,12594,-0.506191135,0.882217277,500,100,149,91,8.186813187
193,12595,-0.825833071,0.289534699,500,100,149,91,8.186813187
193,12596,-1.389358245,-0.035822339,500,100,149,91,8.186813187
193,12597,-1.097322995,-0.363564317,500,100,149,91,8.186813187
193,12598,-1.812129792,-1.938521096,500,100,149,91,8.186813187
193,12599,-0.870720801,0.783508509,500,100,149,91,8.186813187
193,12600,-0.973239851,1.2441349,500,100,149,91,8.186813187
193,12601,-0.870184169,-0.595168153,500,100,149,91,8.186813187
193,12602,-0.826736733,-0.149290023,500,100,149,91,8.186813187
193,12603,-0.730644287,1.468121003,500,100,149,91,8.186813187
193,12604,-1.399206787,0.039903321,500,100,149,91,8.186813187
193,12605,-1.022592897,0.461796373,500,100,149,91,8.186813187
193,12606,-2.077034485,-1.306241855,500,100,149,91,8.186813187
193,12607,-1.577024121,-1.010746299,500,100,149,91,8.186813187
193,12608,-1.252039109,-0.001635422,500,100,149,91,8.186813187
193,12609,-1.520958459,-1.104153987,500,100,149,91,8.186813187
193,12610,-0.75802773,1.645827638,500,100,149,91,8.186813187
193,12611,-1.169710033,0.086512787,500,100,149,91,8.186813187
193,12612,-1.374067525,-0.890697256,500,100,149,91,8.186813187
193,12613,-1.109089605,1.190801374,500,100,149,91,8.186813187
193,12614,-0.777581381,0.38038259,500,100,149,91,8.186813187
193,12615,-1.165120083,0.815527267,500,100,149,91,8.186813187
193,12616,-1.034826499,0.775959571,500,100,149,91,8.186813187
193,12617,-0.33707202,1.999899083,500,100,149,91,8.186813187
193,12618,-1.243877834,-0.707562236,500,100,149,91,8.186813187
193,12619,-0.91467115,0.707085401,500,100,149,91,8.186813187
193,12620,-1.382752376,-0.576907479,500,100,149,91,8.186813187
193,12621,-1.548204547,-1.403952256,500,100,149,91,8.186813187
193,12622,-0.651165071,0.80372368,500,100,149,91,8.186813187
193,12623,-1.284070021,-0.777066249,500,100,149,91,8.186813187
193,12624,-1.027472095,1.386337567,500,100,149,91,8.186813187
193,12625,-1.263901121,0.76849812,500,100,149,91,8.186813187
193,12626,-0.014994567,2.148172067,500,100,149,91,8.186813187
193,12627,-1.515876908,-0.672191409,500,100,149,91,8.186813187
193,12628,-0.840633731,0.700472421,500,100,149,91,8.186813187
193,12629,-1.6831672,0.41790709,500,100,149,91,8.186813187
193,12630,-1.141987064,-0.857596796,500,100,149,91,8.186813187
193,12631,-1.599275085,-0.579635957,500,100,149,91,8.186813187
193,12632,-0.747198292,1.777795,500,100,149,91,8.186813187
193,12633,-0.534082974,0.93789652,500,100,149,91,8.186813187
193,12634,-1.317978079,-1.208923354,500,100,149,91,8.186813187
193,12635,-1.058358431,0.670821395,500,100,149,91,8.186813187
193,12636,-1.398141742,-1.015967205,500,100,149,91,8.186813187
193,12637,-1.30437703,-0.060882046,500,100,149,91,8.186813187
193,12638,-0.553323119,1.540699093,500,100,149,91,8.186813187
193,12639,-1.38984794,-0.485495735,500,100,149,91,8.186813187
193,12640,-1.456734253,-0.704087907,500,100,149,91,8.186813187
193,12641,-1.649888335,-0.667500877,500,100,149,91,8.186813187
193,12642,-1.116873005,-0.504263731,500,100,149,91,8.186813187
193,12643,-0.983234703,1.187508146,500,100,149,91,8.186813187
193,12644,-1.628630255,-1.091640654,500,100,149,91,8.186813187
193,12645,-1.20541169,0.731123086,500,100,149,91,8.186813187
193,12646,-1.233259505,-0.246860982,500,100,149,91,8.186813187
193,12647,-1.041119947,0.029968386,500,100,149,91,8.186813187
193,12648,-1.489095587,0.322417009,500,100,149,91,8.186813187
193,12649,-1.078760914,0.508190847,500,100,149,91,8.186813187
193,12650,-0.576925555,1.0897844,500,100,149,91,8.186813187
193,12651,-1.619859157,-1.746491011,500,100,149,91,8.186813187
193,12652,-1.823939045,-1.653108972,500,100,149,91,8.186813187
193,12653,-1.195517405,0.232102837,500,100,149,91,8.186813187
193,12654,-0.931826637,1.156803645,500,100,149,91,8.186813187
193,12655,-1.244547619,0.694483197,500,100,149,91,8.186813187
193,12656,-1.52081898,-0.672698716,500,100,149,91,8.186813187
193,12657,-0.606024269,1.001100694,500,100,149,91,8.186813187
193,12658,-1.812017402,-1.336264862,500,100,149,91,8.186813187
193,12659,-1.496994635,-0.014397084,500,100,149,91,8.186813187
193,12660,-0.466354626,1.454642652,500,100,149,91,8.186813187
193,12661,-1.511507894,-0.478108823,500,100,149,91,8.186813187
193,12662,-1.516834614,-1.661246103,500,100,149,91,8.186813187
193,12663,-1.168579885,0.150126252,500,100,149,91,8.186813187
193,12664,-1.372041534,-0.241621022,500,100,149,91,8.186813187
193,12665,-0.829953476,0.42513946,500,100,149,91,8.186813187
193,12666,-0.720211712,1.302400147,500,100,149,91,8.186813187
193,12667,-0.648267649,0.82555449,500,100,149,91,8.186813187
193,12668,-0.986857854,0.619508964,500,100,149,91,8.186813187
193,12669,-1.015495521,-0.4985576,500,100,149,91,8.186813187
193,12670,-0.777981263,0.761563144,500,100,149,91,8.186813187
193,12671,-1.385782263,-0.718970513,500,100,149,91,8.186813187
460,30189,0.374746742,1.139937522,500,100,160,83,9.638554217
460,30190,-0.256793197,-0.833535397,500,100,160,83,9.638554217
460,30191,0.088901233,0.507581407,500,100,160,83,9.638554217
460,30192,-1.068067913,-3.21270356,500,100,160,83,9.638554217
460,30193,0.3489568,0.795022889,500,100,160,83,9.638554217
460,30194,0.206144981,0.625188268,500,100,160,83,9.638554217
460,30195,-0.235939315,-1.09181682,500,100,160,83,9.638554217
460,30196,0.916299929,2.994876065,500,100,160,83,9.638554217
460,30197,-0.008293467,-0.3673424,500,100,160,83,9.638554217
460,30198,0.153436723,0.820897114,500,100,160,83,9.638554217
460,30199,0.287169107,0.498151314,500,100,160,83,9.638554217
460,30200,-0.513854864,-0.989454575,500,100,160,83,9.638554217
460,30201,-0.824660857,-1.984235806,500,100,160,83,9.638554217
460,30202,0.044593486,0.300840594,500,100,160,83,9.638554217
460,30203,-0.419406212,-1.260044676,500,100,160,83,9.638554217
460,30204,-0.308590149,-0.604286011,500,100,160,83,9.638554217
460,30205,-0.154661337,-0.288089507,500,100,160,83,9.638554217
460,30206,0.239885282,0.741036253,500,100,160,83,9.638554217
460,30207,-0.161008195,-1.012652642,500,100,160,83,9.638554217
460,30208,0.418717428,0.313241872,500,100,160,83,9.638554217
460,30209,-0.032006921,-0.216853726,500,100,160,83,9.638554217
460,30210,-0.278239369,-1.663099547,500,100,160,83,9.638554217
460,30211,-0.262361983,0.132087732,500,100,160,83,9.638554217
460,30212,-0.127344022,0.289984487,500,100,160,83,9.638554217
460,30213,-0.376628014,-1.37095658,500,100,160,83,9.638554217
460,30214,0.287065238,-0.430360677,500,100,160,83,9.638554217
460,30215,0.103489121,0.810977943,500,100,160,83,9.638554217
460,30216,-0.731624864,-1.506255992,500,100,160,83,9.638554217
460,30217,-0.124019717,-0.378123779,500,100,160,83,9.638554217
460,30218,-0.470110589,-0.864185796,500,100,160,83,9.638554217
460,30219,-0.212722112,0.196013779,500,100,160,83,9.638554217
460,30220,-0.647920751,-1.750907296,500,100,160,83,9.638554217
460,30221,0.001715662,0.921005326,500,100,160,83,9.638554217
460,30222,-0.001452609,0.111520147,500,100,160,83,9.638554217
460,30223,0.047446861,0.184051721,500,100,160,83,9.638554217
460,30224,0.15642692,-0.119624671,500,100,160,83,9.638554217
460,30225,0.032622793,0.094484913,500,100,160,83,9.638554217
460,30226,-0.384917025,-1.279231893,500,100,160,83,9.638554217
460,30227,0.511137946,0.956468164,500,100,160,83,9.638554217
460,30228,0.959163858,2.348107067,500,100,160,83,9.638554217
460,30229,-0.003313385,-0.451306901,500,100,160,83,9.638554217
460,30230,0.815976667,2.026718145,500,100,160,83,9.638554217
460,30231,0.147688548,-0.33336744,500,100,160,83,9.638554217
460,30232,0.114895652,-0.524691304,500,100,160,83,9.638554217
460,30233,-0.538715856,-1.278580296,500,100,160,83,9.638554217
460,30234,0.202155065,0.118216705,500,100,160,83,9.638554217
460,30235,0.158950714,-0.221417342,500,100,160,83,9.638554217
460,30236,0.31105787,0.45282233,500,100,160,83,9.638554217
460,30237,0.626725002,0.873169053,500,100,160,83,9.638554217
460,30238,-0.035119563,0.062117548,500,100,160,83,9.638554217
460,30239,-0.237004053,-0.561493732,500,100,160,83,9.638554217
460,30240,-0.330624813,-1.85485261,500,100,160,83,9.638554217
460,30241,0.574789702,1.113654656,500,100,160,83,9.638554217
460,30242,-0.352663748,-0.625511731,500,100,160,83,9.638554217
460,30243,0.150592253,0.151693207,500,100,160,83,9.638554217
460,30244,0.377819155,0.729510984,500,100,160,83,9.638554217
460,30245,-0.289508038,-0.949644023,500,100,160,83,9.638554217
460,30246,-0.109825438,-0.186687948,500,100,160,83,9.638554217
460,30247,0.284096442,0.80557055,500,100,160,83,9.638554217
460,30248,-0.277321284,-0.874858174,500,100,160,83,9.638554217
460,30249,0.488148802,0.232956571,500,100,160,83,9.638554217
460,30250,-0.09590831,-0.623159229,500,100,160,83,9.638554217
460,30251,-0.022160501,-0.038884411,500,100,160,83,9.638554217
460,30252,-0.012663761,-0.550227629,500,100,160,83,9.638554217
460,30253,-0.688540635,-1.849404558,500,100,160,83,9.638554217
460,30254,0.98864204,2.567929076,500,100,160,83,9.638554217
460,30255,0.843033064,2.036467853,500,100,160,83,9.638554217
460,30256,0.060309921,0.092719989,500,100,160,83,9.638554217
460,30257,-0.04348798,0.146625654,500,100,160,83,9.638554217
460,30258,0.22219111,1.339525454,500,100,160,83,9.638554217
460,30259,-0.281953837,-0.552376158,500,100,160,83,9.638554217
460,30260,0.247226203,1.461134866,500,100,160,83,9.638554217
460,30261,0.347113977,-0.658292645,500,100,160,83,9.638554217
460,30262,-0.499294018,-1.086371545,500,100,160,83,9.638554217
460,30263,-0.424362969,-0.822481081,500,100,160,83,9.638554217
460,30264,-0.386211225,-1.415449858,500,100,160,83,9.638554217
460,30265,0.090212132,0.435897452,500,100,160,83,9.638554217
460,30266,-0.237424526,-0.809576397,500,100,160,83,9.638554217
460,30267,0.451424311,1.455470989,500,100,160,83,9.638554217
460,30268,-0.512922113,-1.424649699,500,100,160,83,9.638554217
460,30269,-0.512481085,-1.110647541,500,100,160,83,9.638554217
460,30270,-0.123029054,-0.161466842,500,100,160,83,9.638554217
460,30271,0.539347106,1.409734223,500,100,160,83,9.638554217
44,2935,0.085607075,0.173512064,500,100,150,86,8.720930233
44,2936,0.307595459,-0.330724944,500,100,150,86,8.720930233
44,2937,0.400807219,0.349611251,500,100,150,86,8.720930233
44,2938,-0.261092457,-0.526089833,500,100,150,86,8.720930233
44,2939,0.021917238,-0.068098547,500,100,150,86,8.720930233
44,2940,0.736673689,0.811132436,500,100,150,86,8.720930233
44,2941,0.620561128,0.567953158,500,100,150,86,8.720930233
44,2942,-0.086250046,-0.379343113,500,100,150,86,8.720930233
44,2943,0.682339635,0.696277088,500,100,150,86,8.720930233
44,2944,0.504399949,-0.062754348,500,100,150,86,8.720930233
44,2945,-0.424565124,-1.420023322,500,100,150,86,8.720930233
44,2946,0.378488714,-0.015764486,500,100,150,86,8.720930233
44,2947,-0.624451453,-1.924430401,500,100,150,86,8.720930233
44,2948,0.25562775,0.266502952,500,100,150,86,8.720930233
44,2949,0.361289928,-0.081212679,500,100,150,86,8.720930233
44,2950,0.788389223,0.988605384,500,100,150,86,8.720930233
44,2951,0.630697147,0.870720195,500,100,150,86,8.720930233
44,2952,0.70568151,1.432803803,500,100,150,86,8.720930233
44,2953,-0.623316626,-1.550710409,500,100,150,86,8.720930233
44,2954,0.149656653,-0.370688192,500,100,150,86,8.720930233
44,2955,0.298651747,-0.306763833,500,100,150,86,8.720930233
44,2956,0.497320319,0.249209986,500,100,150,86,8.720930233
44,2957,0.42559758,0.084341052,500,100,150,86,8.720930233
44,2958,-0.085349003,-1.094371658,500,100,150,86,8.720930233
44,2959,-0.009149847,-0.541954917,500,100,150,86,8.720930233
44,2960,0.953208588,1.729225075,500,100,150,86,8.720930233
44,2961,-0.049353083,-0.811215143,500,100,150,86,8.720930233
44,2962,0.75315018,1.215675726,500,100,150,86,8.720930233
44,2963,1.368953564,1.396885523,500,100,150,86,8.720930233
44,2964,-0.247452299,-1.764597979,500,100,150,86,8.720930233
44,2965,0.354148785,-0.379477563,500,100,150,86,8.720930233
44,2966,-0.277043126,-1.265994534,500,100,150,86,8.720930233
44,2967,0.695103595,0.703834007,500,100,150,86,8.720930233
44,2968,0.197498231,0.211156436,500,100,150,86,8.720930233
44,2969,0.582026285,0.274386902,500,100,150,86,8.720930233
44,2970,-0.192837025,-1.718766665,500,100,150,86,8.720930233
44,2971,0.450347529,0.818563985,500,100,150,86,8.720930233
44,2972,-1.414719214,-3.072512699,500,100,150,86,8.720930233
44,2973,0.72052956,0.884010797,500,100,150,86,8.720930233
44,2974,0.359317723,-0.243175414,500,100,150,86,8.720930233
44,2975,0.201138685,0.053117515,500,100,150,86,8.720930233
44,2976,0.141292883,0.633160724,500,100,150,86,8.720930233
44,2977,1.453531724,2.050931269,500,100,150,86,8.720930233
44,2978,0.183165579,-1.059233944,500,100,150,86,8.720930233
44,2979,-0.035797936,-0.56195727,500,100,150,86,8.720930233
44,2980,-0.119344829,-1.480516378,500,100,150,86,8.720930233
44,2981,-0.609116876,-2.494571526,500,100,150,86,8.720930233
44,2982,0.458157566,0.187162242,500,100,150,86,8.720930233
44,2983,-0.139448227,-0.518102373,500,100,150,86,8.720930233
44,2984,-0.254703408,-0.555566651,500,100,150,86,8.720930233
44,2985,0.464154735,-0.51134088,500,100,150,86,8.720930233
44,2986,0.872439231,0.902950838,500,100,150,86,8.720930233
44,2987,0.694321069,0.20731518,500,100,150,86,8.720930233
44,2988,-0.572211251,-1.847425053,500,100,150,86,8.720930233
44,2989,0.305816495,0.01384392,500,100,150,86,8.720930233
44,2990,-0.522046839,-1.399054292,500,100,150,86,8.720930233
44,2991,0.572078348,1.067182021,500,100,150,86,8.720930233
44,2992,0.182929373,-0.114131884,500,100,150,86,8.720930233
44,2993,0.720173945,0.694080849,500,100,150,86,8.720930233
44,2994,1.239546314,2.200471112,500,100,150,86,8.720930233
44,2995,0.011374826,-0.687863273,500,100,150,86,8.720930233
44,2996,-0.270583062,-0.831591229,500,100,150,86,8.720930233
44,2997,0.150188732,-0.017342726,500,100,150,86,8.720930233
44,2998,-0.01192125,-0.64310707,500,100,150,86,8.720930233
44,2999,0.647624602,0.50627796,500,100,150,86,8.720930233
44,3000,-0.368068804,-1.273168621,500,100,150,86,8.720930233
44,3001,0.13702791,-0.423470003,500,100,150,86,8.720930233
44,3002,1.240265406,1.93775327,500,100,150,86,8.720930233
44,3003,0.996075802,0.655771945,500,100,150,86,8.720930233
44,3004,-0.289207421,-1.638303263,500,100,150,86,8.720930233
44,3005,0.575536245,1.057445043,500,100,150,86,8.720930233
44,3006,1.875075755,2.24118954,500,100,150,86,8.720930233
